dataset_name,audio_path,emotion_tag,emotion_level,text,language,duration,speaker_id,speaker_gender
ESD,ESD/0001/Angry/0001_000583.wav,Angry,,拜托，别跟我提到笔记本电脑。,zh,2.907,ESD_0001,F
ESD,ESD/0001/Angry/0001_000597.wav,Angry,,没有为什么就是要等我。,zh,2.174,ESD_0001,F
ESD,ESD/0001/Angry/0001_000568.wav,Angry,,明天是星期天，我们去透透气吧。,zh,2.628,ESD_0001,F
ESD,ESD/0001/Angry/0001_000540.wav,Angry,,上海现在是下午四点三十六分。,zh,2.773,ESD_0001,F
ESD,ESD/0001/Angry/0001_000554.wav,Angry,,你昨天才买衣服，真是一购物狂。,zh,2.882,ESD_0001,F
ESD,ESD/0001/Angry/0001_000391.wav,Angry,,姐忙得很，没空和你说这个。,zh,2.828,ESD_0001,F
ESD,ESD/0001/Angry/0001_000385.wav,Angry,,这样无辜的人就不会被杀了。,zh,2.926,ESD_0001,F
ESD,ESD/0001/Angry/0001_000408.wav,Angry,,让人看上去就感到宽广，气魄非凡。,zh,3.613,ESD_0001,F
ESD,ESD/0001/Angry/0001_000352.wav,Angry,,英国的哲学家曾经说过“,zh,2.359,ESD_0001,F
ESD,ESD/0001/Angry/0001_000434.wav,Angry,,他好像跟他的秘书有过一腿。,zh,2.571,ESD_0001,F
ESD,ESD/0001/Angry/0001_000420.wav,Angry,,心动不如行动，我不太擅长卖萌。,zh,3.151,ESD_0001,F
ESD,ESD/0001/Angry/0001_000636.wav,Angry,,门儿都没有，现在还不会。,zh,2.276,ESD_0001,F
ESD,ESD/0001/Angry/0001_000622.wav,Angry,,沈阳明天有雷阵雨，多云转晴。,zh,2.86,ESD_0001,F
ESD,ESD/0001/Angry/0001_000623.wav,Angry,,但梅花往往被很多人忽视。,zh,2.503,ESD_0001,F
ESD,ESD/0001/Angry/0001_000637.wav,Angry,,我太喜欢听了，所以不断重复着听。,zh,2.768,ESD_0001,F
ESD,ESD/0001/Angry/0001_000421.wav,Angry,,只要令人鼓舞的电影我都喜欢。,zh,2.476,ESD_0001,F
ESD,ESD/0001/Angry/0001_000353.wav,Angry,,我老家在北京，哇塞！太精彩了。,zh,1.774,ESD_0001,F
ESD,ESD/0001/Angry/0001_000435.wav,Angry,,是啊，他的健康我总放心不下。,zh,3.17,ESD_0001,F
ESD,ESD/0001/Angry/0001_000409.wav,Angry,,只要是我能玩好的，我都喜欢。,zh,3.329,ESD_0001,F
ESD,ESD/0001/Angry/0001_000384.wav,Angry,,那是马特，他肯定很勇敢。,zh,2.927,ESD_0001,F
ESD,ESD/0001/Angry/0001_000390.wav,Angry,,是一家制药公司的短期工。,zh,2.686,ESD_0001,F
ESD,ESD/0001/Angry/0001_000555.wav,Angry,,还要叫她起床，怎么会不早起。,zh,2.833,ESD_0001,F
ESD,ESD/0001/Angry/0001_000541.wav,Angry,,别问了！说多了都是眼泪！,zh,2.498,ESD_0001,F
ESD,ESD/0001/Angry/0001_000569.wav,Angry,,大部分都是用诱饵钓到的。,zh,2.365,ESD_0001,F
ESD,ESD/0001/Angry/0001_000596.wav,Angry,,领带对男人来说真必不可少。,zh,2.51,ESD_0001,F
ESD,ESD/0001/Angry/0001_000582.wav,Angry,,我最近正在努力练习棋艺。,zh,2.353,ESD_0001,F
ESD,ESD/0001/Angry/0001_000594.wav,Angry,,我的直系亲属人数不多。,zh,2.273,ESD_0001,F
ESD,ESD/0001/Angry/0001_000580.wav,Angry,,那不打扰你了，我不敢约出去。,zh,2.42,ESD_0001,F
